customer_id,date_of_birth,item,quantity,purchase_date
1,1981-10-07,cake,1,2020-08-11
2,1991-02-05,cake,3,2020-06-20
3,1962-03-09,pasta,2,2020-06-18
4,1994-09-09,cake,5,2019-07-16
5,1982-08-24,pasta,5,2019-05-09
6,1972-03-12,cake,5,2020-03-02
7,1956-09-11,cake,3,2020-10-15
8,1993-07-14,rice,5,2019-06-09
9,1963-12-12,rice,3,2019-05-08
10,1996-08-23,rice,2,2019-10-27
11,1981-04-27,pasta,1,2019-12-13
12,1963-05-21,pasta,1,2019-02-04
13,1957-01-03,rice,5,2019-07-15
14,1963-06-02,pasta,4,2019-05-14
15,1985-12-22,pasta,1,2019-04-20
16,1994-02-01,rice,1,2020-12-15
17,1978-06-06,rice,1,2020-01-17
18,1988-11-01,rice,4,2020-04-13
19,1956-11-11,rice,3,2020-08-17
20,1965-06-15,pasta,2,2020-04-26
21,1992-03-20,cake,4,2020-12-23
22,1986-03-04,rice,3,2019-03-14
23,1973-03-05,rice,1,2019-02-07
24,1986-02-02,cake,2,2020-01-25
25,1996-07-18,rice,5,2020-07-11
26,1966-12-21,rice,5,2020-05-19
27,1988-09-26,cake,3,2020-10-06
28,1983-08-01,cake,5,2019-07-25
29,1985-04-13,rice,3,2020-05-05
30,1959-07-11,rice,5,2020-08-14
31,1990-03-20,rice,1,2019-08-22
32,1960-11-10,rice,1,2020-07-10
33,1976-04-09,cake,3,2020-04-05
34,1990-02-10,pasta,4,2020-06-10
35,1964-07-26,rice,2,2020-12-11
36,1981-05-03,cake,3,2019-01-12
37,1976-11-10,cake,1,2019-05-08
38,1981-06-15,pasta,4,2020-07-21
39,1987-05-20,rice,5,2019-05-17
40,1963-12-21,cake,4,2019-05-28
41,1979-06-06,cake,4,2020-10-19
42,1983-01-04,pasta,1,2020-05-22
43,1997-09-28,pasta,4,2019-03-08
44,1992-10-19,rice,5,2019-07-16
45,1971-10-18,rice,1,2020-06-02
46,1959-05-17,rice,1,2020-05-25
47,1995-10-28,pasta,1,2020-12-03
48,1967-01-10,pasta,1,2019-05-22
49,1964-03-28,rice,4,2020-07-27
50,1989-10-22,pasta,5,2020-09-25
51,1981-06-27,pasta,5,2019-08-08
52,1991-11-17,rice,3,2019-10-05
53,1995-07-04,cake,1,2020-12-18
54,1971-07-16,rice,3,2019-07-16
55,1957-07-15,pasta,3,2020-08-02
56,1998-09-12,cake,3,2020-10-01
57,1977-09-08,cake,1,2019-09-06
58,1973-10-15,pasta,5,2020-07-22
59,1971-10-28,cake,4,2019-04-22
60,1996-09-18,pasta,3,2019-04-19
61,1959-03-19,rice,2,2020-01-18
62,1995-09-27,cake,3,2020-07-06
63,1959-07-27,cake,3,2020-08-24
64,2000-11-04,cake,4,2019-01-13
65,1973-04-05,pasta,4,2019-09-19
66,1978-05-11,cake,3,2019-07-23
67,1990-05-01,rice,5,2019-10-23
68,1997-04-26,pasta,2,2019-09-26
69,1995-03-22,rice,1,2020-01-17
70,1981-10-22,pasta,2,2019-06-20
71,1969-12-28,cake,1,2020-08-14
72,1968-04-12,pasta,2,2019-05-16
73,1964-06-26,pasta,3,2020-05-28
74,1997-01-06,rice,5,2020-02-28
75,1966-09-11,cake,1,2019-10-21
76,1957-12-08,cake,5,2019-09-11
77,1996-11-08,cake,5,2019-11-11
78,1969-05-14,cake,5,2020-09-15
79,1982-12-19,cake,3,2020-12-05
80,1955-12-05,pasta,3,2020-07-23
81,1967-05-18,pasta,5,2020-07-20
82,1967-02-05,pasta,3,2020-01-25
83,1969-01-22,rice,5,2020-09-14
84,1994-05-08,rice,2,2020-07-28
85,1982-09-18,cake,3,2020-03-09
86,1985-10-10,rice,1,2019-10-16
87,1967-10-26,cake,5,2019-09-21
88,1959-11-05,pasta,4,2019-06-03
89,1956-09-25,cake,2,2019-02-07
90,1977-03-04,rice,1,2019-10-13
91,2000-03-05,pasta,1,2020-03-21
92,1972-06-15,cake,2,2020-05-13
93,1988-02-21,pasta,5,2020-05-18
94,1998-09-03,cake,5,2019-08-03
95,1970-06-13,cake,3,2020-05-05
96,1997-11-04,cake,1,2019-11-22
97,1993-08-23,cake,4,2020-09-04
98,1971-11-15,cake,4,2019-02-02
99,1969-11-18,rice,4,2020-03-01
100,2000-06-05,cake,5,2020-06-05
