customer_id,total_bill
1,14.00
2,42.00
3,33.60
4,70.00
5,84.00
6,70.00
7,42.00
8,50.00
9,30.00
10,20.00
11,16.80
12,16.80
13,50.00
14,67.20
15,16.80
16,10.00
17,10.00
18,40.00
19,30.00
20,33.60
21,56.00
22,30.00
23,10.00
24,28.00
25,50.00
26,50.00
27,42.00
28,70.00
29,30.00
30,50.00
31,10.00
32,10.00
33,42.00
34,67.20
35,20.00
36,42.00
37,14.00
38,67.20
39,50.00
40,56.00
41,56.00
42,16.80
43,67.20
44,50.00
45,10.00
46,10.00
47,16.80
48,16.80
49,40.00
50,84.00
51,84.00
52,30.00
53,14.00
54,28.50
55,50.40
56,42.00
57,14.00
58,84.00
59,56.00
60,50.40
61,20.00
62,42.00
63,42.00
64,56.00
65,67.20
66,42.00
67,50.00
68,33.60
69,10.00
70,33.60
71,14.00
72,33.60
73,50.40
74,50.00
75,14.00
76,70.00
77,70.00
78,70.00
79,42.00
80,50.40
81,84.00
82,50.40
83,50.00
84,20.00
85,42.00
86,10.00
87,70.00
88,67.20
89,28.00
90,10.00
91,16.80
92,28.00
93,84.00
94,70.00
95,42.00
96,14.00
97,56.00
98,56.00
99,40.00
100,59.50
